,ticker,month,mean_transactions,median_transactions,sd_transactions,mean_low,median_low,sd_low,mean_high,median_high,sd_high,mean_close,median_close,sd_close
461,COLM,June,2176500,1479600,1412885.54,89.74750137,89.80500031,0.615320651,93.4449997,93.40499878,0.612964642,91.57749939,91.5699997,0.405795483
462,COLM,July,2029500,1904000,574051.9802,87.09400177,89.16000366,3.381867779,92.75599976,93.13999939,2.572794952,89.84399872,91.22000122,3.295626277
463,COLM,August,1302800,1357400,218066.3775,88.75500107,89.22500229,1.254801537,91.8199997,91.63999939,0.435547764,90.5474987,90.59499741,0.276078968
464,COLM,September,1012200,1003650,62813.01617,90.18999862,89.98999786,0.450387618,93.0150013,93.15000153,0.8103543,91.68000031,91.45999908,0.875584916
465,COLM,October,1588760,1442800,440544.3206,86.04599914,85.75,1.607366408,91.45200043,90.40000153,1.866885166,88.31200104,87.11000061,2.936613647
466,COLM,November,1369950,1474600,346088.0632,88.83250046,88.80500031,1.931533224,92.88750076,93.24000168,1.416392546,91.18500137,90.93000031,1.200448723
467,COLM,December,1443380,1675100,763294.6519,83.33399811,83.33999634,2.771573405,89.17399902,86.12999725,4.251308216,84.63400116,84.41000366,2.096908561
468,DECK,January,3172440,2801200,1398716.407,81.5800003,81.73999786,2.810182073,87.48399963,85.73999786,6.25491418,85.87399902,85.38999939,4.966433751
469,DECK,February,4684375,3733750,1673553.802,91.72749901,91.90999985,1.051794683,97.54500007,97.82500076,0.836673773,94.93249893,95.2349968,1.112639333
470,DECK,March,4914600,4691750,1400860.355,89.99499893,89.32499695,2.263455011,95.05749893,94.2899971,2.524403557,92.30249977,91.25,3.231481342
471,DECK,April,2932500,2742700,889459.1503,89.47200012,89.25,2.195235611,95.3519989,95.04000092,0.906496054,92.43999939,92.98000336,1.977675115
472,DECK,May,3882300,3986800,1104221.631,99.60750006,99.70000074,4.966563594,106.8799991,106.2749977,6.72005682,105.3974991,104.4149971,6.584038749
473,DECK,June,3120925,3147250,247341.7815,115.9824982,116.3599968,2.059652389,121.6550007,122.1300011,1.359717135,118.1299992,118.9899979,3.216831121
474,DECK,July,3143520,2702500,874424.6209,109.6059982,110.3499985,2.490194872,118.3139999,119.1800003,1.997725774,113.9080002,113.8300018,2.345397886
475,DECK,August,2246225,2294400,150446.2092,115.8800011,115.9900017,1.065879862,122.6100006,122.4599991,0.432897514,120.2075005,120.4750023,1.521074186
476,DECK,September,2421050,2400000,210014.5412,112.9699993,112.2299996,2.828004559,119.7525005,119.7750015,3.501966922,115.25,115.6450005,3.007351523
477,DECK,October,3539620,2956700,1090819.726,107.2059998,106.1399994,5.296074945,118.7539993,116.4599991,8.65534805,113.5520019,109.5800018,9.841598663
478,DECK,November,2728725,2898100,511682.1248,124.3225021,124.1650009,4.002646341,134.3150025,134.7799988,2.728740759,130.0049992,131.5699997,4.462975213
479,DECK,December,2502300,2701800,1041972.952,120.7539993,119.4499969,3.297579053,131.2759964,130.1699982,3.453087156,124.3280014,122.8799973,3.322862405
480,WWW,January,3395680,3318000,701103.3345,31.72399941,32.02000046,0.580158035,33.22999954,33.34999847,0.539147731,32.68800011,32.68000031,0.682800781
481,WWW,February,5858800,5780550,614558.9679,29.09250021,29.18000031,0.432688479,31.5875001,31.23499966,0.79926173,29.85750008,29.77499962,0.600515578
482,WWW,March,3324275,3045700,881959.2433,28.48749972,28.4449997,0.330331095,29.65750027,29.64000034,0.254693494,28.95749998,29.13500023,0.507512614
483,WWW,April,2782600,2737700,819985.3218,28.87000008,28.95999908,0.540333269,30.66600037,30.54000092,0.340740134,29.73000031,29.73999977,0.474636613
484,WWW,May,3976450,2915800,2232785.1,31.25500012,31.73999977,1.655816208,33.35750008,33.23500061,0.686635179,32.76999998,32.85499955,1.097839257
485,WWW,June,3307375,3066700,642389.7469,35,35.07500077,0.587153933,36.3125,36.3049984,0.492309678,35.59249973,35.54999924,0.623472989
